player_id,player_external_id,player_name,gender,role,batting_style,bowling_style,team_name
1477,75be3b2a,JC Balt,male,ALL_ROUNDER,,,Namibia
1478,99b75528,JC Buttler,male,BATTER,,,England
1479,1f1b4c89,JC Tongue,male,ALL_ROUNDER,,,England
1480,49b6c09f,JC Tredwell,male,ALL_ROUNDER,,,England
1481,6fd0c8e1,JD Campbell,male,ALL_ROUNDER,,,West Indies
1482,7c7303eb,JD Nel,male,ALL_ROUNDER,,,Scotland
1483,91ffa6c6,JD Ryder,male,ALL_ROUNDER,,,New Zealand
1484,1e66c162,JD Unadkat,male,BOWLER,,,India
1485,aceb7654,JDF Vandersay,male,ALL_ROUNDER,,,Sri Lanka
1486,3eac9d95,JDP Oram,male,ALL_ROUNDER,,,New Zealand
1487,9219eff0,JDS Neesham,male,ALL_ROUNDER,,,New Zealand
1488,89a7dd4a,JE Dunford,male,BATTER,,,Jersey
1489,a343262c,JE Root,male,ALL_ROUNDER,,,England
1490,4180d897,JE Taylor,male,ALL_ROUNDER,,,West Indies
1491,cf73ad76,JEC Franklin,male,ALL_ROUNDER,,,New Zealand
1492,51080a1f,JF Kloppenburg,male,ALL_ROUNDER,,,Netherlands
1493,aae9ce90,JF Mooney,male,ALL_ROUNDER,,,Ireland
1494,91cd48e0,JF Smith,male,ALL_ROUNDER,,,South Africa
1495,3c55c703,JG Bethell,male,ALL_ROUNDER,,,England
1496,d3868bd0,JH Davey,male,ALL_ROUNDER,,,Scotland
1497,1af1bc4b,JH Desai,male,BATTER,,,United States of America
1498,86dc8f2e,JH Kallis,male,ALL_ROUNDER,,,South Africa
1499,4373c57e,JH Stander,male,ALL_ROUNDER,,,Scotland
1500,3847ec84,JI de Villiers,male,ALL_ROUNDER,,,Namibia
1501,bf2d865c,JJ Atkinson,male,BATTER,,,Hong Kong
1502,462411b3,JJ Bumrah,male,ALL_ROUNDER,,,India
1503,6ae9c751,JJ Celestine,male,BATTER,,,Bermuda
1504,068c47d2,JJ Davidson,male,ALL_ROUNDER,,,Scotland
1505,21231130,JJ Esmeijer,male,ALL_ROUNDER,,,Netherlands
1506,047d9032,JJ Krejza,male,ALL_ROUNDER,,,Australia
1507,d1c36f5c,JJ Roy,male,BATTER,,,England
1508,bb134e5c,JJ Smit,male,ALL_ROUNDER,,,Namibia
1509,bceb1b07,JJ Tucker,male,ALL_ROUNDER,,,Bermuda
1510,6821ac10,JJ van der Wath,male,ALL_ROUNDER,,,South Africa
1511,1417ba2f,JJC Lawson,male,ALL_ROUNDER,,,West Indies
1512,270b3f8e,JK Kamande,male,ALL_ROUNDER,,,Kenya
1513,0a9d8b61,JL Carter,male,ALL_ROUNDER,,,West Indies
1514,bdadf7da,JL Denly,male,ALL_ROUNDER,,,England
1515,7e758bb2,JL Louw,male,BOWLER,,,Namibia
